model,auroc,mcc,brier_score,inference_time_per_sample_ms,trainable_parameters
ChebyKAN,0.0,0.3796874668433288,0.3781977455156917,0.761824611268155,0.7759294047162443
FastKAN,0.5155842329310824,1.0,1.0,0.8476301985236685,0.6247861788230946
GramKAN,0.49681129759696546,0.6626312392990343,0.507977748108831,0.7607485253879583,0.7806411695703419
JacobiKAN,0.27736592510199615,0.4654536566269336,0.3965826406584994,0.6937870635481566,0.7887908709905904
LegendreKAN,0.4045885977708512,0.7401472586902285,0.7980064988115804,0.714999841024242,0.7757838243404789
RandomForest,0.6958068537893589,0.0,0.0,0.0,1.0
ReLUKAN,0.5343071113292384,0.4522776256241787,0.643333017327236,0.8227811079848879,0.3559552172367164
StandardMLP,1.0,0.8697680940520238,0.7996443886680591,1.0,0.9294824932599086
TabKAN,0.6365053117252294,0.6335478973604437,0.9364262950956154,0.850872019394253,0.41103350518350124
TaylorKAN,0.6595516361963979,0.8562663041018372,0.6128354357039043,0.8209970634712629,0.785408926876657
WavKAN,0.6160894715353522,0.785053695868874,0.8525286204582315,0.6666004308151502,0.0
