model,auroc,mcc,brier_score,inference_time_per_sample_ms,trainable_parameters
ChebyKAN,0.9386650938590397,0.7733159453826122,0.06332688225067017,0.07812063876078669,24391.92380952381
FastKAN,0.9453897914990169,0.7972556776948646,0.05738263758019735,0.0716536557724679,40845.10476190476
GramKAN,0.9451449385615656,0.784235599282782,0.06208622401377134,0.07820174104449322,23879.009523809524
JacobiKAN,0.9422827413020964,0.7766259214271277,0.06315112811954295,0.08324848273628359,22991.847619047618
LegendreKAN,0.9439420899632922,0.7872271763587652,0.059313635392203044,0.0816497212166598,24407.77142857143
RandomForest,0.947740411544681,0.7586626604130325,0.0669423402470889,0.1355377249754978,0.0
ReLUKAN,0.945633991550407,0.7761174186349324,0.06079226788564633,0.07352647840476288,70109.56190476191
StandardMLP,0.9517079629199252,0.7922296354979684,0.05929797765217399,0.060169870792980674,7676.409523809524
TabKAN,0.94696694929643,0.7831131853647325,0.05799038329651597,0.07140932668980784,64113.8380952381
TaylorKAN,0.9472675394888421,0.7917085606850852,0.06108381569802464,0.07366093801152089,23360.0
WavKAN,0.9467006681660655,0.7889602512648661,0.05879242012049297,0.08529748090781845,108858.20952380952
