prob_A_better,prob_B_better,prob_ROPE,mean_diff,dataset,metric,Model A (Baseline),Model B (Best KAN)
0.2204514372486308,0.6588006474517734,0.12074791529959583,-0.03226446926517924,cervical_cancer,MCC,StandardMLP,GramKAN
0.5764761255343334,0.12113752628082515,0.3023863481848415,0.013836109542631274,cervical_cancer,AUROC,StandardMLP,GramKAN
0.3106204481636423,0.5668044505128282,0.12257510132352945,-0.02026454079727445,cervical_cancer,F1_SCORE,StandardMLP,GramKAN
8.012588269430496e-05,0.0013911708251986843,0.998528703292107,0.0017010553429524064,cervical_cancer,BRIER_SCORE,StandardMLP,GramKAN
0.9767677029105224,1.723446413137708e-06,0.023230573643064467,-0.018403845612863026,cervical_cancer,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,GramKAN
0.0030470352212247365,0.9569041741117361,0.04004879066703915,-0.036737927611655466,cardiotocography,MCC,StandardMLP,LegendreKAN
1.6314826056795795e-07,3.302481980977915e-05,0.9999668120319296,-0.0023477702894650083,cardiotocography,AUROC,StandardMLP,LegendreKAN
0.0004833903697851749,0.9865501477226993,0.012966461907515492,-0.03931667142462578,cardiotocography,F1_SCORE,StandardMLP,LegendreKAN
2.2546414884337715e-05,0.9742038722768216,0.025773581308294047,0.02155262098443465,cardiotocography,BRIER_SCORE,StandardMLP,LegendreKAN
0.859858751700699,1.673474082641846e-06,0.14013957482521833,-0.013577910908500001,cardiotocography,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,LegendreKAN
0.04493246932853001,0.2816295467292019,0.6734379839422682,-0.005095221688472829,chronic_kidney_disease,MCC,StandardMLP,LegendreKAN
7.306777105586804e-08,4.5205186738418394e-07,0.9999994748803616,-0.0007555555555555316,chronic_kidney_disease,AUROC,StandardMLP,LegendreKAN
0.0010008768443671157,0.012738458963243451,0.9862606641923894,-0.0020474129045557456,chronic_kidney_disease,F1_SCORE,StandardMLP,LegendreKAN
0.0010419935340578437,0.0395699590507711,0.959388047415171,0.0033091899203815233,chronic_kidney_disease,BRIER_SCORE,StandardMLP,LegendreKAN
0.9813644713210912,4.348629799477699e-06,0.018631180049109353,-0.020246108373006177,chronic_kidney_disease,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,LegendreKAN
0.37772563925852976,0.5144364424174799,0.10783791832399037,-0.01262457412556704,parkinsons,MCC,StandardMLP,WavKAN
0.37143899295690996,0.09184938516536587,0.5367116218777241,0.006138782460621509,parkinsons,AUROC,StandardMLP,WavKAN
0.2256071692147581,0.3560065243088085,0.4183863064764334,-0.0034580343225892947,parkinsons,F1_SCORE,StandardMLP,WavKAN
0.25011431332040585,0.18179507875526157,0.5680906079243326,-0.0015147402106473935,parkinsons,BRIER_SCORE,StandardMLP,WavKAN
0.8106659088713,0.012776114320017129,0.1765579768086829,-0.021441777547200516,parkinsons,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,WavKAN
0.5332278610413074,0.09347555881540848,0.37329658014328415,0.01130342449575401,breast_cancer,MCC,StandardMLP,TabKAN
4.136791029507592e-06,1.6964253628765908e-07,0.9999956935664343,0.0013746850901562432,breast_cancer,AUROC,StandardMLP,TabKAN
0.3723385633356311,0.05274017949316897,0.5749212571711999,0.006779439093381353,breast_cancer,F1_SCORE,StandardMLP,TabKAN
0.0057590749164694345,0.0021135735951648416,0.9921273514883657,-0.0007991143036633736,breast_cancer,BRIER_SCORE,StandardMLP,TabKAN
0.35958308189969374,2.2553290795257475e-05,0.640394364809511,-0.008812282838442872,breast_cancer,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,TabKAN
0.09148978499432825,0.7837244614012915,0.12478575360438027,-0.03725760059897623,heart_disease,MCC,StandardMLP,TaylorKAN
0.06253271710482888,0.1964161689366578,0.7410511139585133,-0.002983539094650219,heart_disease,AUROC,StandardMLP,TaylorKAN
0.07543527583424281,0.6753154654329401,0.2492492587328171,-0.01880729728901846,heart_disease,F1_SCORE,StandardMLP,TaylorKAN
0.02777901239631563,0.23730117056640387,0.7349198170372805,0.0047938148180643675,heart_disease,BRIER_SCORE,StandardMLP,TaylorKAN
0.6918564071220785,0.0007033000835219294,0.30744029279439955,-0.012967964339125984,heart_disease,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,TaylorKAN
0.28285429759896563,0.47372045877886243,0.24342524362217194,-0.007952009721644412,pima_diabetes,MCC,StandardMLP,TabKAN
0.024911010681655132,0.23831625653946126,0.7367727327788836,-0.004917773119031018,pima_diabetes,AUROC,StandardMLP,TabKAN
0.3674372199319067,0.30301576210942877,0.32954701795866453,0.002086128971544669,pima_diabetes,F1_SCORE,StandardMLP,TabKAN
0.00011365012250386043,0.0005636957026854406,0.9993226541748107,0.0009307295083999633,pima_diabetes,BRIER_SCORE,StandardMLP,TabKAN
0.26199446922685793,4.6454651270178005e-07,0.7380050662266293,-0.008535153749178459,pima_diabetes,INFERENCE_TIME_PER_SAMPLE_MS,StandardMLP,TabKAN
