Model A (Baseline),Model B,Statistic,Unadjusted p-value,Winner,Holm-Bonferroni p-value,Significant,dataset,metric
StandardMLP,GramKAN,0.0,1.0,GramKAN,1.0,False,cervical_cancer,MCC
StandardMLP,GramKAN,0.0,1.0,StandardMLP,1.0,False,cervical_cancer,AUROC
StandardMLP,GramKAN,0.0,1.0,GramKAN,1.0,False,cervical_cancer,F1_SCORE
StandardMLP,GramKAN,0.0,1.0,GramKAN,1.0,False,cervical_cancer,BRIER_SCORE
StandardMLP,GramKAN,0.0,1.0,StandardMLP,1.0,False,cervical_cancer,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,cardiotocography,MCC
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,cardiotocography,AUROC
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,cardiotocography,F1_SCORE
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,cardiotocography,BRIER_SCORE
StandardMLP,LegendreKAN,0.0,1.0,StandardMLP,1.0,False,cardiotocography,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,chronic_kidney_disease,MCC
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,chronic_kidney_disease,AUROC
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,chronic_kidney_disease,F1_SCORE
StandardMLP,LegendreKAN,0.0,1.0,LegendreKAN,1.0,False,chronic_kidney_disease,BRIER_SCORE
StandardMLP,LegendreKAN,0.0,1.0,StandardMLP,1.0,False,chronic_kidney_disease,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,WavKAN,0.0,1.0,WavKAN,1.0,False,parkinsons,MCC
StandardMLP,WavKAN,0.0,1.0,StandardMLP,1.0,False,parkinsons,AUROC
StandardMLP,WavKAN,0.0,1.0,WavKAN,1.0,False,parkinsons,F1_SCORE
StandardMLP,WavKAN,0.0,1.0,StandardMLP,1.0,False,parkinsons,BRIER_SCORE
StandardMLP,WavKAN,0.0,1.0,StandardMLP,1.0,False,parkinsons,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,breast_cancer,MCC
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,breast_cancer,AUROC
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,breast_cancer,F1_SCORE
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,breast_cancer,BRIER_SCORE
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,breast_cancer,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,TaylorKAN,0.0,1.0,TaylorKAN,1.0,False,heart_disease,MCC
StandardMLP,TaylorKAN,0.0,1.0,TaylorKAN,1.0,False,heart_disease,AUROC
StandardMLP,TaylorKAN,0.0,1.0,TaylorKAN,1.0,False,heart_disease,F1_SCORE
StandardMLP,TaylorKAN,0.0,1.0,TaylorKAN,1.0,False,heart_disease,BRIER_SCORE
StandardMLP,TaylorKAN,0.0,1.0,StandardMLP,1.0,False,heart_disease,INFERENCE_TIME_PER_SAMPLE_MS
StandardMLP,TabKAN,0.0,1.0,TabKAN,1.0,False,pima_diabetes,MCC
StandardMLP,TabKAN,0.0,1.0,TabKAN,1.0,False,pima_diabetes,AUROC
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,pima_diabetes,F1_SCORE
StandardMLP,TabKAN,0.0,1.0,TabKAN,1.0,False,pima_diabetes,BRIER_SCORE
StandardMLP,TabKAN,0.0,1.0,StandardMLP,1.0,False,pima_diabetes,INFERENCE_TIME_PER_SAMPLE_MS
