dataset,model,mcc,auroc,f1_score,balanced_accuracy,brier_score,inference_time_per_sample_ms,total_train_time_seconds,trainable_parameters,loss
breast_cancer,ChebyKAN,0.9291 ± 0.0386,0.9903 ± 0.0094,0.9543 ± 0.0245,0.9606 ± 0.0198,0.0272 ± 0.0139,0.0744 ± 0.0064,1.2901 ± 0.5326,23125.3333 ± 5119.5238,0.1090 ± 0.0458
breast_cancer,FastKAN,0.9448 ± 0.0369,0.9936 ± 0.0070,0.9648 ± 0.0235,0.9692 ± 0.0195,0.0192 ± 0.0105,0.0639 ± 0.0027,1.0861 ± 0.2872,31925.3333 ± 14139.4416,0.0747 ± 0.0372
breast_cancer,GramKAN,0.9515 ± 0.0263,0.9941 ± 0.0078,0.9690 ± 0.0168,0.9732 ± 0.0142,0.0185 ± 0.0094,0.0734 ± 0.0076,1.1819 ± 0.3118,22325.3333 ± 4501.8515,0.0771 ± 0.0381
breast_cancer,JacobiKAN,0.9416 ± 0.0273,0.9906 ± 0.0089,0.9625 ± 0.0179,0.9678 ± 0.0152,0.0240 ± 0.0094,0.0756 ± 0.0113,1.2380 ± 0.4387,21792.0000 ± 4968.4720,0.0949 ± 0.0317
breast_cancer,LegendreKAN,0.9390 ± 0.0305,0.9923 ± 0.0086,0.9611 ± 0.0192,0.9679 ± 0.0161,0.0226 ± 0.0094,0.0733 ± 0.0092,1.1575 ± 0.3506,23125.3333 ± 4399.1341,0.0886 ± 0.0364
breast_cancer,RandomForest,0.9106 ± 0.0478,0.9897 ± 0.0084,0.9423 ± 0.0317,0.9524 ± 0.0274,0.0332 ± 0.0096,0.1228 ± 0.0602,0.0859 ± 0.0434,0.0000 ± 0.0000,0.1583 ± 0.1152
breast_cancer,ReLUKAN,0.9538 ± 0.0200,0.9946 ± 0.0069,0.9707 ± 0.0125,0.9750 ± 0.0104,0.0163 ± 0.0071,0.0701 ± 0.0039,1.3070 ± 0.4510,76725.3333 ± 25561.8764,0.0608 ± 0.0283
breast_cancer,StandardMLP,0.9676 ± 0.0250,0.9969 ± 0.0051,0.9792 ± 0.0161,0.9812 ± 0.0144,0.0153 ± 0.0076,0.0585 ± 0.0037,0.8352 ± 0.4083,6934.3333 ± 4964.1519,0.0604 ± 0.0285
breast_cancer,TabKAN,0.9563 ± 0.0243,0.9955 ± 0.0051,0.9724 ± 0.0151,0.9769 ± 0.0114,0.0161 ± 0.0076,0.0673 ± 0.0034,1.4922 ± 0.4812,50142.0000 ± 22888.1344,0.0596 ± 0.0317
breast_cancer,TaylorKAN,0.9562 ± 0.0209,0.9954 ± 0.0059,0.9723 ± 0.0131,0.9766 ± 0.0105,0.0162 ± 0.0079,0.0639 ± 0.0030,1.2144 ± 0.4332,20192.0000 ± 5237.2294,0.0652 ± 0.0316
breast_cancer,WavKAN,0.9405 ± 0.0268,0.9914 ± 0.0087,0.9624 ± 0.0172,0.9706 ± 0.0134,0.0239 ± 0.0082,0.0727 ± 0.0111,1.3662 ± 0.5401,87392.0000 ± 38342.8146,0.0940 ± 0.0323
cardiotocography,ChebyKAN,0.9585 ± 0.0223,0.9960 ± 0.0048,0.9707 ± 0.0166,0.9674 ± 0.0168,0.0251 ± 0.0133,0.0629 ± 0.0039,3.7022 ± 0.9727,31955.2000 ± 330.0812,0.0625 ± 0.0410
cardiotocography,FastKAN,0.9599 ± 0.0201,0.9966 ± 0.0035,0.9711 ± 0.0155,0.9681 ± 0.0149,0.0248 ± 0.0117,0.0558 ± 0.0019,3.4220 ± 1.1061,55554.1333 ± 7556.9133,0.0593 ± 0.0325
cardiotocography,GramKAN,0.9440 ± 0.0213,0.9945 ± 0.0047,0.9529 ± 0.0213,0.9494 ± 0.0233,0.0341 ± 0.0120,0.0593 ± 0.0031,5.4655 ± 1.1423,26498.1333 ± 5432.2832,0.0765 ± 0.0338
cardiotocography,JacobiKAN,0.9602 ± 0.0186,0.9966 ± 0.0036,0.9736 ± 0.0138,0.9699 ± 0.0188,0.0249 ± 0.0093,0.0643 ± 0.0033,3.7531 ± 0.8723,28010.6667 ± 5044.3217,0.0599 ± 0.0316
cardiotocography,LegendreKAN,0.9603 ± 0.0175,0.9967 ± 0.0031,0.9715 ± 0.0156,0.9685 ± 0.0152,0.0231 ± 0.0107,0.0637 ± 0.0056,4.5249 ± 1.2365,30158.9333 ± 3898.3353,0.0564 ± 0.0324
cardiotocography,RandomForest,0.9484 ± 0.0153,0.9975 ± 0.0014,0.9674 ± 0.0096,0.9549 ± 0.0135,0.0376 ± 0.0060,0.1364 ± 0.0461,0.1856 ± 0.0635,0.0000 ± 0.0000,0.0839 ± 0.0092
cardiotocography,ReLUKAN,0.9306 ± 0.0252,0.9953 ± 0.0038,0.9419 ± 0.0209,0.9353 ± 0.0271,0.0387 ± 0.0142,0.0564 ± 0.0030,4.8959 ± 1.0913,72381.8667 ± 26579.8851,0.0799 ± 0.0352
cardiotocography,StandardMLP,0.9236 ± 0.0221,0.9943 ± 0.0036,0.9322 ± 0.0175,0.9254 ± 0.0211,0.0447 ± 0.0111,0.0501 ± 0.0024,3.7238 ± 1.2595,9003.5333 ± 5363.4202,0.0928 ± 0.0342
cardiotocography,TabKAN,0.9534 ± 0.0189,0.9968 ± 0.0027,0.9671 ± 0.0147,0.9643 ± 0.0152,0.0283 ± 0.0105,0.0560 ± 0.0035,3.3594 ± 0.8701,78245.4000 ± 13054.3970,0.0650 ± 0.0313
cardiotocography,TaylorKAN,0.9150 ± 0.0307,0.9932 ± 0.0041,0.9196 ± 0.0307,0.9123 ± 0.0309,0.0476 ± 0.0150,0.0563 ± 0.0043,4.5367 ± 1.2728,24714.6667 ± 6459.9214,0.0934 ± 0.0379
cardiotocography,WavKAN,0.9568 ± 0.0201,0.9969 ± 0.0032,0.9693 ± 0.0164,0.9664 ± 0.0186,0.0264 ± 0.0131,0.0666 ± 0.0051,4.4291 ± 1.0880,102803.2000 ± 42409.6762,0.0609 ± 0.0394
cervical_cancer,ChebyKAN,0.6845 ± 0.1230,0.9318 ± 0.0549,0.7000 ± 0.1135,0.8572 ± 0.0803,0.0275 ± 0.0078,0.0700 ± 0.0095,1.3371 ± 0.3257,29664.0000 ± 7633.6889,0.0998 ± 0.0381
cervical_cancer,FastKAN,0.7004 ± 0.1225,0.9283 ± 0.0424,0.7151 ± 0.1166,0.8563 ± 0.0834,0.0270 ± 0.0082,0.0681 ± 0.0050,1.5699 ± 0.3825,56488.5333 ± 17843.4097,0.1003 ± 0.0434
cervical_cancer,GramKAN,0.7035 ± 0.1283,0.9311 ± 0.0538,0.7093 ± 0.1446,0.8700 ± 0.1032,0.0277 ± 0.0077,0.0717 ± 0.0067,6.5634 ± 19.1796,32838.4000 ± 7726.8400,0.1016 ± 0.0390
cervical_cancer,JacobiKAN,0.6802 ± 0.1336,0.9216 ± 0.0650,0.6886 ± 0.1419,0.8496 ± 0.1066,0.0285 ± 0.0079,0.0773 ± 0.0099,1.4084 ± 0.3856,32439.4667 ± 8018.2326,0.1059 ± 0.0398
cervical_cancer,LegendreKAN,0.6692 ± 0.2003,0.9309 ± 0.0471,0.6848 ± 0.2025,0.8500 ± 0.1083,0.0272 ± 0.0089,0.0739 ± 0.0136,1.6184 ± 0.7100,31620.2667 ± 8410.1826,0.0998 ± 0.0399
cervical_cancer,RandomForest,0.6164 ± 0.1402,0.9449 ± 0.0346,0.6349 ± 0.1309,0.7957 ± 0.0806,0.0307 ± 0.0067,0.1329 ± 0.0610,0.0738 ± 0.0348,0.0000 ± 0.0000,0.1336 ± 0.0698
cervical_cancer,ReLUKAN,0.6792 ± 0.0960,0.9286 ± 0.0581,0.6970 ± 0.0890,0.8538 ± 0.0532,0.0299 ± 0.0081,0.0681 ± 0.0026,1.9261 ± 0.3396,100435.2000 ± 30648.6619,0.1068 ± 0.0427
cervical_cancer,StandardMLP,0.6713 ± 0.1051,0.9449 ± 0.0431,0.6891 ± 0.1008,0.8431 ± 0.0727,0.0294 ± 0.0066,0.0533 ± 0.0042,0.9846 ± 0.2931,8156.7333 ± 6197.1495,0.1041 ± 0.0382
cervical_cancer,TabKAN,0.6568 ± 0.1385,0.9332 ± 0.0494,0.6749 ± 0.1316,0.8234 ± 0.0867,0.0285 ± 0.0084,0.0660 ± 0.0053,1.5993 ± 0.3886,84821.2667 ± 26245.3377,0.1033 ± 0.0443
cervical_cancer,TaylorKAN,0.6983 ± 0.1125,0.9245 ± 0.0561,0.7144 ± 0.1034,0.8665 ± 0.0728,0.0272 ± 0.0082,0.0645 ± 0.0056,1.6840 ± 0.5590,34395.7333 ± 8112.1453,0.0984 ± 0.0390
cervical_cancer,WavKAN,0.6642 ± 0.0973,0.9333 ± 0.0490,0.6844 ± 0.0905,0.8475 ± 0.0591,0.0282 ± 0.0082,0.0854 ± 0.0170,2.0022 ± 0.5474,166602.6667 ± 56624.9493,0.1025 ± 0.0425
chronic_kidney_disease,ChebyKAN,0.9878 ± 0.0194,0.9999 ± 0.0002,0.9953 ± 0.0075,0.9949 ± 0.0085,0.0036 ± 0.0055,0.0790 ± 0.0064,0.8009 ± 0.3306,31334.4000 ± 5893.5154,0.0106 ± 0.0140
chronic_kidney_disease,FastKAN,0.9895 ± 0.0167,0.9998 ± 0.0004,0.9960 ± 0.0064,0.9956 ± 0.0076,0.0036 ± 0.0050,0.0720 ± 0.0038,0.8439 ± 0.4288,52435.2000 ± 9461.4984,0.0117 ± 0.0161
chronic_kidney_disease,GramKAN,0.9895 ± 0.0167,0.9996 ± 0.0008,0.9960 ± 0.0064,0.9956 ± 0.0076,0.0039 ± 0.0055,0.0753 ± 0.0078,0.9905 ± 0.4034,29235.2000 ± 7186.8711,0.0151 ± 0.0186
chronic_kidney_disease,JacobiKAN,0.9895 ± 0.0133,0.9998 ± 0.0003,0.9960 ± 0.0051,0.9956 ± 0.0059,0.0044 ± 0.0056,0.0825 ± 0.0091,0.7705 ± 0.2984,26491.7333 ± 6663.6645,0.0155 ± 0.0180
chronic_kidney_disease,LegendreKAN,0.9912 ± 0.0163,0.9997 ± 0.0006,0.9966 ± 0.0062,0.9962 ± 0.0075,0.0035 ± 0.0051,0.0831 ± 0.0060,0.9901 ± 0.4836,32029.8667 ± 5868.9190,0.0127 ± 0.0160
chronic_kidney_disease,RandomForest,0.9718 ± 0.0292,0.9992 ± 0.0014,0.9893 ± 0.0110,0.9862 ± 0.0145,0.0121 ± 0.0057,0.1238 ± 0.0818,0.0575 ± 0.0387,0.0000 ± 0.0000,0.0563 ± 0.0154
chronic_kidney_disease,ReLUKAN,0.9842 ± 0.0241,0.9996 ± 0.0007,0.9940 ± 0.0092,0.9927 ± 0.0114,0.0051 ± 0.0080,0.0765 ± 0.0046,1.1302 ± 0.3525,77403.7333 ± 36910.5140,0.0183 ± 0.0263
chronic_kidney_disease,StandardMLP,0.9861 ± 0.0166,0.9989 ± 0.0023,0.9946 ± 0.0065,0.9947 ± 0.0064,0.0068 ± 0.0068,0.0629 ± 0.0030,0.6975 ± 0.2462,9084.7333 ± 5922.4936,0.0274 ± 0.0257
chronic_kidney_disease,TabKAN,0.9825 ± 0.0215,0.9997 ± 0.0005,0.9933 ± 0.0082,0.9924 ± 0.0099,0.0056 ± 0.0072,0.0694 ± 0.0044,0.8700 ± 0.3912,83180.3333 ± 14713.6040,0.0158 ± 0.0203
chronic_kidney_disease,TaylorKAN,0.9895 ± 0.0193,0.9997 ± 0.0007,0.9960 ± 0.0074,0.9956 ± 0.0085,0.0039 ± 0.0072,0.0733 ± 0.0073,0.9957 ± 0.4428,28234.6667 ± 7356.6568,0.0149 ± 0.0264
chronic_kidney_disease,WavKAN,0.9912 ± 0.0163,0.9997 ± 0.0007,0.9966 ± 0.0062,0.9962 ± 0.0075,0.0033 ± 0.0049,0.0960 ± 0.0210,1.4691 ± 0.6461,163129.6000 ± 46271.3095,0.0130 ± 0.0158
heart_disease,ChebyKAN,0.6728 ± 0.0834,0.9103 ± 0.0339,0.8125 ± 0.0570,0.8321 ± 0.0451,0.1219 ± 0.0265,0.0762 ± 0.0071,0.9650 ± 0.4668,20584.5333 ± 4502.8230,0.3960 ± 0.0704
heart_disease,FastKAN,0.6913 ± 0.1156,0.9096 ± 0.0405,0.8254 ± 0.0676,0.8424 ± 0.0582,0.1181 ± 0.0318,0.0638 ± 0.0062,0.9694 ± 0.4374,32974.9333 ± 12914.0398,0.3892 ± 0.0820
heart_disease,GramKAN,0.6971 ± 0.0902,0.9086 ± 0.0379,0.8250 ± 0.0574,0.8431 ± 0.0472,0.1184 ± 0.0310,0.0767 ± 0.0098,1.0035 ± 0.3939,21358.9333 ± 5249.5171,0.3879 ± 0.0887
heart_disease,JacobiKAN,0.6736 ± 0.1019,0.9068 ± 0.0387,0.8177 ± 0.0619,0.8340 ± 0.0529,0.1210 ± 0.0327,0.0787 ± 0.0108,0.7568 ± 0.2157,21358.9333 ± 5249.5171,0.3948 ± 0.0912
heart_disease,LegendreKAN,0.6858 ± 0.0836,0.9126 ± 0.0368,0.8181 ± 0.0515,0.8377 ± 0.0432,0.1155 ± 0.0259,0.0784 ± 0.0103,0.9145 ± 0.3845,20584.5333 ± 4502.8230,0.3805 ± 0.0689
heart_disease,RandomForest,0.6843 ± 0.0970,0.9139 ± 0.0358,0.8213 ± 0.0578,0.8386 ± 0.0495,0.1228 ± 0.0200,0.1328 ± 0.0653,0.0671 ± 0.0339,0.0000 ± 0.0000,0.3928 ± 0.0499
heart_disease,ReLUKAN,0.7024 ± 0.1199,0.9206 ± 0.0372,0.8356 ± 0.0643,0.8491 ± 0.0592,0.1100 ± 0.0317,0.0709 ± 0.0047,0.8738 ± 0.2964,61885.8667 ± 25828.0796,0.3575 ± 0.0891
heart_disease,StandardMLP,0.6808 ± 0.1043,0.9138 ± 0.0373,0.8199 ± 0.0600,0.8371 ± 0.0523,0.1169 ± 0.0252,0.0589 ± 0.0059,0.5085 ± 0.2867,6599.4000 ± 5024.0466,0.3746 ± 0.0648
heart_disease,TabKAN,0.6781 ± 0.1060,0.9208 ± 0.0363,0.8192 ± 0.0686,0.8366 ± 0.0556,0.1131 ± 0.0304,0.0709 ± 0.0074,0.9640 ± 0.4646,57026.4000 ± 21795.6387,0.3612 ± 0.0855
heart_disease,TaylorKAN,0.7181 ± 0.1031,0.9168 ± 0.0403,0.8387 ± 0.0616,0.8549 ± 0.0525,0.1121 ± 0.0322,0.0719 ± 0.0082,0.8984 ± 0.4619,21358.9333 ± 5249.5171,0.3693 ± 0.0886
heart_disease,WavKAN,0.6678 ± 0.0895,0.9119 ± 0.0388,0.8157 ± 0.0559,0.8323 ± 0.0465,0.1194 ± 0.0279,0.0932 ± 0.0216,0.8017 ± 0.3555,106284.8000 ± 35990.8596,0.3824 ± 0.0772
parkinsons,ChebyKAN,0.7843 ± 0.2475,0.9482 ± 0.0708,0.9506 ± 0.0402,0.8945 ± 0.1234,0.0619 ± 0.0501,0.1168 ± 0.0183,0.8298 ± 0.4078,19027.2000 ± 4332.5076,0.2917 ± 0.2071
parkinsons,FastKAN,0.8310 ± 0.1128,0.9606 ± 0.0387,0.9588 ± 0.0275,0.8992 ± 0.0752,0.0499 ± 0.0294,0.1104 ± 0.0105,0.8045 ± 0.4030,37164.8000 ± 8824.0196,0.3112 ± 0.1754
parkinsons,GramKAN,0.7092 ± 0.3124,0.9522 ± 0.0505,0.9360 ± 0.0466,0.8702 ± 0.1594,0.0736 ± 0.0492,0.1204 ± 0.0157,0.9780 ± 0.2963,20189.8667 ± 4464.2247,0.2952 ± 0.2054
parkinsons,JacobiKAN,0.7187 ± 0.2263,0.9569 ± 0.0342,0.9353 ± 0.0357,0.8493 ± 0.1147,0.0768 ± 0.0291,0.1263 ± 0.0148,0.7290 ± 0.1847,18562.1333 ± 4056.2620,0.3811 ± 0.1007
parkinsons,LegendreKAN,0.8133 ± 0.1757,0.9671 ± 0.0395,0.9518 ± 0.0412,0.9091 ± 0.0917,0.0536 ± 0.0386,0.1240 ± 0.0136,0.8954 ± 0.3260,19492.2667 ± 3925.6145,0.2561 ± 0.1670
parkinsons,RandomForest,0.7220 ± 0.1475,0.9588 ± 0.0301,0.9356 ± 0.0334,0.8311 ± 0.0967,0.0727 ± 0.0197,0.1773 ± 0.0989,0.0586 ± 0.0346,0.0000 ± 0.0000,0.2424 ± 0.0453
parkinsons,ReLUKAN,0.6993 ± 0.2781,0.9443 ± 0.0674,0.9319 ± 0.0528,0.8525 ± 0.1418,0.0694 ± 0.0476,0.1114 ± 0.0110,1.2127 ± 0.4917,63208.5333 ± 23266.6172,0.2767 ± 0.1967
parkinsons,StandardMLP,0.8284 ± 0.1204,0.9783 ± 0.0181,0.9570 ± 0.0289,0.9144 ± 0.0728,0.0468 ± 0.0228,0.0866 ± 0.0045,0.4641 ± 0.1617,8340.2000 ± 4235.3406,0.2165 ± 0.1219
parkinsons,TabKAN,0.7589 ± 0.2604,0.9430 ± 0.0935,0.9475 ± 0.0446,0.8738 ± 0.1309,0.0600 ± 0.0466,0.1110 ± 0.0094,1.0318 ± 0.5559,59298.8000 ± 16409.7512,0.3003 ± 0.2103
parkinsons,TaylorKAN,0.7829 ± 0.1189,0.9633 ± 0.0366,0.9423 ± 0.0307,0.8969 ± 0.0793,0.0649 ± 0.0381,0.1159 ± 0.0160,1.0463 ± 0.3523,21817.6000 ± 4210.4406,0.2720 ± 0.1700
parkinsons,WavKAN,0.8411 ± 0.1133,0.9722 ± 0.0215,0.9604 ± 0.0278,0.9162 ± 0.0663,0.0483 ± 0.0249,0.1081 ± 0.0208,0.5085 ± 0.2990,87392.0000 ± 35374.7765,0.2583 ± 0.1645
pima_diabetes,ChebyKAN,0.3962 ± 0.0970,0.7941 ± 0.0408,0.5636 ± 0.0959,0.6828 ± 0.0534,0.1761 ± 0.0144,0.0675 ± 0.0055,1.0810 ± 0.2057,15052.8000 ± 2850.6389,0.5287 ± 0.0361
pima_diabetes,FastKAN,0.4639 ± 0.0697,0.8292 ± 0.0317,0.6354 ± 0.0491,0.7235 ± 0.0340,0.1589 ± 0.0148,0.0675 ± 0.0103,1.6386 ± 0.7173,19372.8000 ± 6557.2990,0.4810 ± 0.0364
pima_diabetes,GramKAN,0.4949 ± 0.0685,0.8359 ± 0.0357,0.6695 ± 0.0444,0.7465 ± 0.0348,0.1585 ± 0.0172,0.0707 ± 0.0067,1.2627 ± 0.3542,14707.2000 ± 3639.3642,0.4817 ± 0.0469
pima_diabetes,JacobiKAN,0.4727 ± 0.0681,0.8236 ± 0.0335,0.6496 ± 0.0554,0.7332 ± 0.0387,0.1625 ± 0.0141,0.0781 ± 0.0067,1.0194 ± 0.1626,12288.0000 ± 2712.6219,0.4943 ± 0.0353
pima_diabetes,LegendreKAN,0.4518 ± 0.0713,0.8082 ± 0.0287,0.6293 ± 0.0586,0.7195 ± 0.0381,0.1697 ± 0.0123,0.0751 ± 0.0094,1.2419 ± 0.2321,13843.2000 ± 3459.0843,0.5161 ± 0.0308
pima_diabetes,RandomForest,0.4572 ± 0.0617,0.8302 ± 0.0329,0.6246 ± 0.0446,0.7170 ± 0.0305,0.1594 ± 0.0134,0.1227 ± 0.0486,0.0809 ± 0.0326,0.0000 ± 0.0000,0.4825 ± 0.0330
pima_diabetes,ReLUKAN,0.4833 ± 0.0860,0.8365 ± 0.0320,0.6416 ± 0.0765,0.7314 ± 0.0500,0.1561 ± 0.0171,0.0613 ± 0.0028,1.3731 ± 0.4174,38726.4000 ± 16564.0959,0.4750 ± 0.0426
pima_diabetes,StandardMLP,0.4879 ± 0.0804,0.8348 ± 0.0339,0.6544 ± 0.0526,0.7363 ± 0.0373,0.1553 ± 0.0163,0.0508 ± 0.0016,1.2064 ± 0.4194,5615.9333 ± 4172.1470,0.4740 ± 0.0406
pima_diabetes,TabKAN,0.4958 ± 0.0755,0.8397 ± 0.0315,0.6523 ± 0.0550,0.7364 ± 0.0375,0.1543 ± 0.0163,0.0593 ± 0.0039,1.7462 ± 0.6909,36082.6667 ± 16814.2554,0.4678 ± 0.0431
pima_diabetes,TaylorKAN,0.4819 ± 0.0762,0.8380 ± 0.0377,0.6536 ± 0.0516,0.7356 ± 0.0377,0.1556 ± 0.0179,0.0699 ± 0.0092,1.5835 ± 0.7288,12806.4000 ± 3077.3097,0.4740 ± 0.0468
pima_diabetes,WavKAN,0.4611 ± 0.0704,0.8215 ± 0.0315,0.6322 ± 0.0465,0.7210 ± 0.0326,0.1620 ± 0.0151,0.0751 ± 0.0100,1.2442 ± 0.3547,48403.2000 ± 19904.7085,0.4884 ± 0.0387
